image_id,image_path,image_width,image_height,split,class_id,class_name,x_center,y_center,bbox_w,bbox_h,bbox_area,x1,y1,x2,y2,aspect_ratio,norm_area,size_category,relative_area,shape_category,norm_x,norm_y,touches_left,touches_top,touches_right,touches_bottom,touches_any_edge,out_of_bounds
crazing_106,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_106.jpg,200,200,train,0,crazing,64.0,62.5,126.0,77.0,9702.0,1.0,24.0,127.0,101.0,1.6363636363636365,0.24255,large,24.255,Wide (AR>1.25),0.32,0.3125,True,False,False,False,True,False
crazing_106,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_106.jpg,200,200,train,0,crazing,102.49999999999999,138.0,173.0,36.0,6228.0,15.999999999999986,120.0,189.0,156.0,4.805555555555555,0.1557,medium,15.57,Wide (AR>1.25),0.5125,0.69,False,False,False,False,False,False
crazing_106,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_106.jpg,200,200,train,0,crazing,145.0,170.0,64.0,36.0,2304.0,113.0,152.0,177.0,188.0,1.7777777777777777,0.0576,medium,5.76,Wide (AR>1.25),0.725,0.85,False,False,False,False,False,False
crazing_107,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_107.jpg,200,200,train,0,crazing,155.5,92.0,87.0,92.0,8004.0,112.0,46.0,199.0,138.0,0.9456521739130435,0.2001,medium,20.01,Square (0.75-1.25),0.7775,0.46,False,False,True,False,True,False
crazing_107,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_107.jpg,200,200,train,0,crazing,53.5,40.0,103.0,78.0,8034.0,2.0,1.0,105.0,79.0,1.3205128205128205,0.20085,medium,20.085,Wide (AR>1.25),0.2675,0.2,True,True,False,False,True,False
crazing_107,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_107.jpg,200,200,train,0,crazing,69.0,172.5,115.99999999999999,53.0,6147.999999999999,11.000000000000007,146.0,127.0,199.0,2.1886792452830184,0.15369999999999998,medium,15.369999999999997,Wide (AR>1.25),0.345,0.8625,False,False,False,True,True,False
crazing_108,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_108.jpg,200,200,train,0,crazing,36.0,85.0,66.0,128.0,8448.0,3.0,21.0,69.0,149.0,0.515625,0.2112,medium,21.12,Tall (AR<0.75),0.18,0.425,False,False,False,False,False,False
crazing_108,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_108.jpg,200,200,train,0,crazing,144.0,154.0,108.0,78.0,8424.0,90.0,115.0,198.0,193.0,1.3846153846153846,0.2106,medium,21.060000000000002,Wide (AR>1.25),0.72,0.77,False,False,True,False,True,False
crazing_109,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_109.jpg,200,200,train,0,crazing,138.0,21.5,122.0,41.0,5002.0,77.0,1.0,199.0,42.0,2.975609756097561,0.12505,medium,12.504999999999999,Wide (AR>1.25),0.69,0.1075,False,True,True,False,True,False
crazing_109,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_109.jpg,200,200,train,0,crazing,118.5,62.5,159.0,49.0,7791.0,39.0,38.0,198.0,87.0,3.2448979591836733,0.194775,medium,19.4775,Wide (AR>1.25),0.5925,0.3125,False,False,True,False,True,False
crazing_109,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_109.jpg,200,200,train,0,crazing,88.5,109.5,112.99999999999999,43.0,4858.999999999999,32.00000000000001,88.0,145.0,131.0,2.627906976744186,0.12147499999999997,medium,12.147499999999997,Wide (AR>1.25),0.4425,0.5475,False,False,False,False,False,False
crazing_11,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_11.jpg,200,200,train,0,crazing,66.0,89.5,92.0,43.0,3956.0,20.0,68.0,112.0,111.0,2.13953488372093,0.0989,medium,9.89,Wide (AR>1.25),0.33,0.4475,False,False,False,False,False,False
crazing_11,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_11.jpg,200,200,train,0,crazing,139.0,41.0,108.0,57.99999999999999,6263.999999999999,85.0,12.000000000000004,193.0,70.0,1.8620689655172415,0.1566,medium,15.659999999999998,Wide (AR>1.25),0.695,0.205,False,False,False,False,False,False
crazing_11,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_11.jpg,200,200,train,0,crazing,102.0,159.0,80.0,50.0,4000.0,62.0,134.0,142.0,184.0,1.6,0.1,medium,10.0,Wide (AR>1.25),0.51,0.795,False,False,False,False,False,False
crazing_110,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_110.jpg,200,200,train,0,crazing,149.0,46.5,88.0,56.99999999999999,5015.999999999999,105.0,18.000000000000004,193.0,75.0,1.5438596491228072,0.12539999999999998,medium,12.54,Wide (AR>1.25),0.745,0.2325,False,False,False,False,False,False
crazing_110,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_110.jpg,200,200,train,0,crazing,45.0,47.5,88.0,63.0,5544.0,1.0,16.0,89.0,79.0,1.3968253968253967,0.1386,medium,13.86,Wide (AR>1.25),0.225,0.2375,True,False,False,False,True,False
crazing_111,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_111.jpg,200,200,train,0,crazing,102.0,68.5,130.0,81.0,10530.0,37.0,28.0,167.0,109.0,1.6049382716049383,0.26325,large,26.325,Wide (AR>1.25),0.51,0.3425,False,False,False,False,False,False
crazing_111,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_111.jpg,200,200,train,0,crazing,159.0,69.0,80.0,113.99999999999999,9119.999999999998,119.0,12.000000000000007,199.0,126.0,0.7017543859649124,0.22799999999999995,medium,22.799999999999994,Tall (AR<0.75),0.795,0.345,False,False,True,False,True,False
crazing_112,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_112.jpg,200,200,train,0,crazing,68.5,75.0,109.00000000000001,62.0,6758.000000000001,13.999999999999993,44.0,123.0,106.0,1.7580645161290325,0.16895000000000002,medium,16.895000000000003,Wide (AR>1.25),0.3425,0.375,False,False,False,False,False,False
crazing_112,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_112.jpg,200,200,train,0,crazing,70.5,150.5,135.0,63.0,8505.0,3.0,119.0,138.0,182.0,2.142857142857143,0.212625,medium,21.2625,Wide (AR>1.25),0.3525,0.7525,False,False,False,False,False,False
crazing_112,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_112.jpg,200,200,train,2,patches,144.5,73.0,41.0,78.0,3198.0,124.0,34.0,165.0,112.0,0.5256410256410257,0.07995,medium,7.994999999999999,Tall (AR<0.75),0.7225,0.365,False,False,False,False,False,False
crazing_113,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_113.jpg,200,200,train,0,crazing,73.0,160.0,100.0,52.0,5200.0,23.0,134.0,123.0,186.0,1.9230769230769231,0.13,medium,13.0,Wide (AR>1.25),0.365,0.8,False,False,False,False,False,False
crazing_113,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_113.jpg,200,200,train,0,crazing,81.5,82.0,161.0,68.0,10948.0,1.0,48.0,162.0,116.0,2.3676470588235294,0.2737,large,27.37,Wide (AR>1.25),0.4075,0.41,True,False,False,False,True,False
crazing_115,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_115.jpg,200,200,train,0,crazing,98.0,49.5,178.0,49.0,8722.0,9.0,25.0,187.0,74.0,3.63265306122449,0.21805,medium,21.805,Wide (AR>1.25),0.49,0.2475,False,False,False,False,False,False
crazing_115,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_115.jpg,200,200,train,0,crazing,66.5,107.0,85.0,56.00000000000001,4760.000000000001,24.0,79.0,109.0,135.0,1.5178571428571426,0.11900000000000002,medium,11.900000000000002,Wide (AR>1.25),0.3325,0.535,False,False,False,False,False,False
crazing_115,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_115.jpg,200,200,train,0,crazing,144.5,93.0,95.0,96.0,9120.0,97.0,45.0,192.0,141.0,0.9895833333333334,0.228,medium,22.8,Square (0.75-1.25),0.7225,0.465,False,False,False,False,False,False
crazing_117,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_117.jpg,200,200,train,0,crazing,83.0,91.5,142.0,105.0,14910.0,12.0,39.0,154.0,144.0,1.3523809523809525,0.37275,large,37.275000000000006,Wide (AR>1.25),0.415,0.4575,False,False,False,False,False,False
crazing_117,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_117.jpg,200,200,train,0,crazing,117.5,163.5,103.0,51.0,5253.0,66.0,138.0,169.0,189.0,2.019607843137255,0.131325,medium,13.1325,Wide (AR>1.25),0.5875,0.8175,False,False,False,False,False,False
crazing_118,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_118.jpg,200,200,train,0,crazing,43.0,166.0,72.0,44.0,3168.0,7.0,144.0,79.0,188.0,1.6363636363636365,0.0792,medium,7.920000000000001,Wide (AR>1.25),0.215,0.83,False,False,False,False,False,False
crazing_118,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_118.jpg,200,200,train,0,crazing,38.0,101.49999999999999,74.0,73.0,5402.0,1.0,64.99999999999999,75.0,138.0,1.0136986301369864,0.13505,medium,13.505,Square (0.75-1.25),0.19,0.5075,True,False,False,False,True,False
crazing_118,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_118.jpg,200,200,train,0,crazing,111.00000000000001,146.5,134.0,53.0,7102.0,44.000000000000014,120.0,178.0,173.0,2.5283018867924527,0.17755,medium,17.755000000000003,Wide (AR>1.25),0.555,0.7325,False,False,False,False,False,False
crazing_118,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_118.jpg,200,200,train,0,crazing,126.49999999999999,107.5,137.0,51.0,6987.0,57.999999999999986,82.0,195.0,133.0,2.6862745098039214,0.174675,medium,17.4675,Wide (AR>1.25),0.6325,0.5375,False,False,False,False,False,False
crazing_119,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_119.jpg,200,200,train,0,crazing,132.5,105.0,121.0,84.0,10164.0,72.0,63.0,193.0,147.0,1.4404761904761905,0.2541,large,25.41,Wide (AR>1.25),0.6625,0.525,False,False,False,False,False,False
crazing_119,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_119.jpg,200,200,train,0,crazing,68.5,134.5,135.0,45.0,6075.0,1.0,112.0,136.0,157.0,3.0,0.151875,medium,15.187500000000002,Wide (AR>1.25),0.3425,0.6725,True,False,False,False,True,False
crazing_119,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_119.jpg,200,200,train,0,crazing,117.5,36.0,107.0,44.0,4708.0,64.0,14.0,171.0,58.0,2.4318181818181817,0.1177,medium,11.77,Wide (AR>1.25),0.5875,0.18,False,False,False,False,False,False
crazing_119,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_119.jpg,200,200,train,0,crazing,71.0,57.99999999999999,132.0,80.0,10560.0,5.0,17.999999999999993,137.0,98.0,1.65,0.264,large,26.400000000000002,Wide (AR>1.25),0.355,0.29,False,False,False,False,False,False
crazing_121,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_121.jpg,200,200,train,0,crazing,122.50000000000001,142.5,101.0,56.99999999999999,5756.999999999999,72.00000000000001,114.0,173.0,171.0,1.7719298245614037,0.14392499999999997,medium,14.392499999999997,Wide (AR>1.25),0.6125,0.7125,False,False,False,False,False,False
crazing_121,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_121.jpg,200,200,train,0,crazing,89.5,46.5,133.0,51.0,6783.0,23.0,21.0,156.0,72.0,2.607843137254902,0.169575,medium,16.9575,Wide (AR>1.25),0.4475,0.2325,False,False,False,False,False,False
crazing_122,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_122.jpg,200,200,train,0,crazing,138.5,151.0,112.99999999999999,30.0,3389.9999999999995,82.0,136.0,195.0,166.0,3.766666666666666,0.08474999999999999,medium,8.475,Wide (AR>1.25),0.6925,0.755,False,False,False,False,False,False
crazing_122,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_122.jpg,200,200,train,0,crazing,76.5,103.0,65.0,60.0,3900.0,44.0,73.0,109.0,133.0,1.0833333333333333,0.0975,medium,9.75,Square (0.75-1.25),0.3825,0.515,False,False,False,False,False,False
crazing_123,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_123.jpg,200,200,train,0,crazing,136.0,144.0,115.99999999999999,46.0,5335.999999999999,78.0,121.0,194.0,167.0,2.5217391304347823,0.1334,medium,13.34,Wide (AR>1.25),0.68,0.72,False,False,False,False,False,False
crazing_126,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_126.jpg,200,200,train,0,crazing,54.50000000000001,93.5,107.0,61.0,6527.0,1.000000000000007,63.0,108.0,124.0,1.7540983606557377,0.163175,medium,16.3175,Wide (AR>1.25),0.2725,0.4675,True,False,False,False,True,False
crazing_126,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_126.jpg,200,200,train,0,crazing,144.0,48.5,108.0,51.0,5508.0,90.0,23.0,198.0,74.0,2.1176470588235294,0.1377,medium,13.77,Wide (AR>1.25),0.72,0.2425,False,False,True,False,True,False
crazing_127,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_127.jpg,200,200,train,0,crazing,66.0,161.5,106.0,59.0,6254.0,13.0,132.0,119.0,191.0,1.7966101694915255,0.15635,medium,15.634999999999998,Wide (AR>1.25),0.33,0.8075,False,False,False,False,False,False
crazing_127,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_127.jpg,200,200,train,0,crazing,101.49999999999999,69.5,87.0,91.0,7917.0,57.999999999999986,24.0,145.0,115.0,0.9560439560439561,0.197925,medium,19.7925,Square (0.75-1.25),0.5075,0.3475,False,False,False,False,False,False
crazing_128,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_128.jpg,200,200,train,0,crazing,30.5,64.5,59.0,61.0,3599.0,1.0,34.0,60.0,95.0,0.9672131147540983,0.089975,medium,8.9975,Square (0.75-1.25),0.1525,0.3225,True,False,False,False,True,False
crazing_128,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_128.jpg,200,200,train,0,crazing,122.50000000000001,108.0,67.0,57.99999999999999,3885.9999999999995,89.00000000000001,79.0,156.0,137.0,1.1551724137931036,0.09714999999999999,medium,9.714999999999998,Square (0.75-1.25),0.6125,0.54,False,False,False,False,False,False
crazing_128,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_128.jpg,200,200,train,0,crazing,132.0,51.5,84.0,47.0,3948.0,90.0,28.0,174.0,75.0,1.7872340425531914,0.0987,medium,9.87,Wide (AR>1.25),0.66,0.2575,False,False,False,False,False,False
crazing_129,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_129.jpg,200,200,train,0,crazing,47.5,99.5,93.0,47.0,4371.0,1.0,76.0,94.0,123.0,1.9787234042553192,0.109275,medium,10.9275,Wide (AR>1.25),0.2375,0.4975,True,False,False,False,True,False
crazing_129,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_129.jpg,200,200,train,0,crazing,133.5,96.0,71.0,76.0,5396.0,98.0,58.0,169.0,134.0,0.9342105263157895,0.1349,medium,13.489999999999998,Square (0.75-1.25),0.6675,0.48,False,False,False,False,False,False
crazing_130,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_130.jpg,200,200,train,0,crazing,78.5,156.5,153.0,45.0,6885.0,2.0,134.0,155.0,179.0,3.4,0.172125,medium,17.2125,Wide (AR>1.25),0.3925,0.7825,True,False,False,False,True,False
crazing_130,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_130.jpg,200,200,train,0,crazing,43.0,52.5,82.0,93.0,7626.0,2.0,6.0,84.0,99.0,0.8817204301075269,0.19065,medium,19.064999999999998,Square (0.75-1.25),0.215,0.2625,True,False,False,False,True,False
crazing_130,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_130.jpg,200,200,train,0,crazing,138.0,131.0,122.0,54.0,6588.0,77.0,104.0,199.0,158.0,2.259259259259259,0.1647,medium,16.470000000000002,Wide (AR>1.25),0.69,0.655,False,False,True,False,True,False
crazing_131,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_131.jpg,200,200,train,0,crazing,77.0,48.5,152.0,55.00000000000001,8360.000000000002,1.0,20.999999999999996,153.0,76.0,2.7636363636363632,0.20900000000000005,medium,20.900000000000006,Wide (AR>1.25),0.385,0.2425,True,False,False,False,True,False
crazing_131,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_131.jpg,200,200,train,0,crazing,70.0,158.0,104.0,56.00000000000001,5824.000000000001,18.0,130.0,122.0,186.0,1.857142857142857,0.14560000000000003,medium,14.560000000000004,Wide (AR>1.25),0.35,0.79,False,False,False,False,False,False
crazing_131,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_131.jpg,200,200,train,0,crazing,162.5,61.5,63.0,89.0,5607.0,131.0,17.0,194.0,106.0,0.7078651685393258,0.140175,medium,14.0175,Tall (AR<0.75),0.8125,0.3075,False,False,False,False,False,False
crazing_132,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_132.jpg,200,200,train,0,crazing,96.5,56.00000000000001,103.0,54.0,5562.0,45.0,29.000000000000007,148.0,83.0,1.9074074074074074,0.13905,medium,13.905000000000001,Wide (AR>1.25),0.4825,0.28,False,False,False,False,False,False
crazing_132,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_132.jpg,200,200,train,0,crazing,94.5,119.0,114.99999999999999,60.0,6899.999999999999,37.00000000000001,89.0,152.0,149.0,1.9166666666666665,0.1725,medium,17.25,Wide (AR>1.25),0.4725,0.595,False,False,False,False,False,False
crazing_134,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_134.jpg,200,200,train,0,crazing,83.0,53.0,100.0,54.0,5400.0,33.0,26.0,133.0,80.0,1.8518518518518519,0.135,medium,13.5,Wide (AR>1.25),0.415,0.265,False,False,False,False,False,False
crazing_134,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_134.jpg,200,200,train,0,crazing,90.5,118.5,101.0,59.0,5959.0,40.0,89.0,141.0,148.0,1.7118644067796611,0.148975,medium,14.897499999999999,Wide (AR>1.25),0.4525,0.5925,False,False,False,False,False,False
crazing_135,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_135.jpg,200,200,train,0,crazing,85.5,64.5,145.0,83.0,12035.0,13.0,23.0,158.0,106.0,1.7469879518072289,0.300875,large,30.0875,Wide (AR>1.25),0.4275,0.3225,False,False,False,False,False,False
crazing_135,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_135.jpg,200,200,train,0,crazing,113.99999999999999,154.0,128.0,74.0,9472.0,49.999999999999986,117.0,178.0,191.0,1.7297297297297298,0.2368,large,23.68,Wide (AR>1.25),0.57,0.77,False,False,False,False,False,False
crazing_136,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_136.jpg,200,200,train,0,crazing,44.5,115.99999999999999,87.0,56.00000000000001,4872.000000000001,1.0,87.99999999999999,88.0,144.0,1.5535714285714284,0.12180000000000002,medium,12.180000000000001,Wide (AR>1.25),0.2225,0.58,True,False,False,False,True,False
crazing_136,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_136.jpg,200,200,train,0,crazing,158.5,147.5,65.0,73.0,4745.0,126.0,111.0,191.0,184.0,0.8904109589041096,0.118625,medium,11.862499999999999,Square (0.75-1.25),0.7925,0.7375,False,False,False,False,False,False
crazing_137,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_137.jpg,200,200,train,0,crazing,98.0,107.0,132.0,57.99999999999999,7655.999999999999,32.0,78.0,164.0,136.0,2.2758620689655173,0.1914,medium,19.139999999999997,Wide (AR>1.25),0.49,0.535,False,False,False,False,False,False
crazing_137,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_137.jpg,200,200,train,0,crazing,66.5,166.0,56.99999999999999,52.0,2963.9999999999995,38.0,140.0,95.0,192.0,1.096153846153846,0.07409999999999999,medium,7.409999999999998,Square (0.75-1.25),0.3325,0.83,False,False,False,False,False,False
crazing_137,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_137.jpg,200,200,train,0,crazing,63.0,38.5,50.0,56.99999999999999,2849.9999999999995,38.0,10.000000000000004,88.0,67.0,0.8771929824561404,0.07125,medium,7.124999999999999,Square (0.75-1.25),0.315,0.1925,False,False,False,False,False,False
crazing_139,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_139.jpg,200,200,train,0,crazing,50.0,37.5,98.0,65.0,6370.0,1.0,5.0,99.0,70.0,1.5076923076923077,0.15925,medium,15.925,Wide (AR>1.25),0.25,0.1875,True,False,False,False,True,False
crazing_139,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_139.jpg,200,200,train,0,crazing,52.0,109.5,90.0,53.0,4770.0,7.0,83.0,97.0,136.0,1.6981132075471699,0.11925,medium,11.924999999999999,Wide (AR>1.25),0.26,0.5475,False,False,False,False,False,False
crazing_14,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_14.jpg,200,200,train,0,crazing,65.0,143.0,86.0,54.0,4644.0,22.0,116.0,108.0,170.0,1.5925925925925926,0.1161,medium,11.61,Wide (AR>1.25),0.325,0.715,False,False,False,False,False,False
